mode	paramCurves	correct	avgTime	ratio	perImprov	avgFST3	avgFST4
3+1	0.6	1.0	0.0014026910002939	0.8553095952955999	0.1446904047044001	1	0
3+1	0.6	1.0	0.0014690920002067	0.8574968748160213	0.1425031251839786	1	0
3+1	0.6	1.0	0.0014324410003609	0.8523139741801676	0.1476860258198323	1	0
3+1	0.6	1.0	0.0014364310000019	0.8574117735011887	0.1425882264988113	1	0
3+1	0.6	1.0	0.0013051209998593	0.852004615553257	0.1479953844467429	1	0
3+1	0.6	1.0	0.0013335710000319	0.8561888071596425	0.1438111928403574	1	0
3+1	0.6	1.0	0.0014543810002578	0.8550132342371037	0.1449867657628962	1	0
3+1	0.6	1.0	0.0014297210000222	0.8550254656137616	0.1449745343862384	1	0
3+1	0.6	1.0	0.0014223809998838	0.8523803102173491	0.1476196897826509	1	0
3+1	0.6	1.0	0.0014168410002639	0.8540407957472546	0.1459592042527454	1	0
3+1	0.6	1.0	0.0014506210000035	0.8543945821987198	0.1456054178012802	1	0
3+1	0.6	1.0	0.0017312410000158	0.8532529350359543	0.1467470649640456	1	0
3+1	0.6	1.0	0.0014672409997729	0.852873207738905	0.147126792261095	1	0
3+1	0.6	1.0	0.0014549819998137	0.8540423756655386	0.1459576243344613	1	0
3+1	0.6	1.0	0.0014165019997562	0.8552614352000997	0.1447385647999003	1	0
3+1	0.6	1.0	0.0014455609998549	0.8546994153095647	0.1453005846904352	1	0
3+1	0.6	1.0	0.0014120009996076	0.8547402294541605	0.1452597705458395	1	0
3+1	0.6	1.0	0.0012775700001839	0.8537849509880459	0.1462150490119541	1	0
3+1	0.6	1.0	0.0014295809996838	0.8527013302608685	0.1472986697391315	1	0
3+1	0.6	1.0	0.0012730799999189	0.8578379028361515	0.1421620971638485	1	0
